School_District,Account_Name,V_Counter,Description,Debit,Credit,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_year,BatchNo,Cancel_Flag,CP_Dummy,Unnamed_19,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code
Cordova City School District,400.000.Supplies and Materi,6-04162019,amz?????Kate?????,17.4,0,4/16/2019,P,,104262019,12192,,101485,AMAZON ONLINE ORDERING        , 04-16-2019_       ,19,572,   ,6-04162019,,19,100,10,400,0,450
Cordova City School District,400.000.Supplies and Materi,7-01222019,lyn-3533049-wcp paper frght-hs,352.74,0,1/22/2019,P,,AC00100706,11398,,100230,LYNDEN TRANSPORT  INC.        ,3533049,19,394,   ,7-01222019,,19,100,10,400,0,450
Cordova City School District,400.000.Supplies and Materi,8-07012018,FY19 Adopted Budget,297876,0,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,8-07012018,,19,100,10,400,0,450
Cordova City School District,400.000.Supplies and Materi,9-07012018,FY19 Adopted Budget,0,1000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,9-07012018,,19,100,10,400,0,450
Cordova City School District,400.000.Other Expenses,1-01162019,2017 staff christmans items,212.3,0,1/16/2019,P,VOID,100005049,11386,,100365,NET LOFT  THE                 ,12192018,19,382,   ,1-01162019,,19,100,10,400,0,490
Cordova City School District,400.000.Other Expenses,2-01172019,Void Check,0,212.3,1/17/2019,P,VOID,100005049,11386,,100365,NET LOFT  THE                 ,12192018,19,386,   ,2-01172019,,19,100,10,400,0,490
Cordova City School District,400.000.Other Expenses,3-07012018,FY19 Adopted Budget,0,500,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,3-07012018,,19,100,10,400,0,490
Cordova City School District,400.000.Dues and Fees,1-04292019,ad-ED-renewal-19-20yr-kate w.,600,0,4/29/2019,P,,105262019,12483,,101836,ADVANCE EDUCATION  INC        , 04-29-2019_       ,19,665,   ,1-04292019,,19,100,10,400,0,491
Cordova City School District,400.000.Dues and Fees,2-06302019,Reclass HS Princ Conf Dues,250,0,6/30/2019,J,1096,,,,         ,                              ,                   ,19,769,   ,2-06302019,,19,100,10,400,0,491
Cordova City School District,400.000.Dues and Fees,3-07012018,ACSA,365,0,7/1/2018,J,1058,,,,         ,                              ,                   ,19,663,   ,3-07012018,,19,100,10,400,0,491
Cordova City School District,400.000.Dues and Fees,4-07012018,AdvancED,900,0,7/1/2018,J,1058,,,,         ,                              ,                   ,19,663,   ,4-07012018,,19,100,10,400,0,491
Cordova City School District,400.000.Dues and Fees,5-06072019,amz prime???? each crd,119,0,6/7/2019,P,,106262019,12599,,101485,AMAZON ONLINE ORDERING        , 06-07-2019_       ,19,714,   ,5-06072019,,19,100,10,400,0,491
Cordova City School District,400.000.Dues and Fees,6-08082018,yrly member fees-hs-williams,614,0,8/8/2018,P,,108262018,9930,,100905,NASSP/NASC                    , 08-08-2018_       ,19,92,   ,6-08082018,,19,100,10,400,0,491
Cordova City School District,400.000.Dues and Fees,7-07012018,FY19 Adopted Budget,0,3100,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,7-07012018,,19,100,10,400,0,491
Cordova City School District,400.Technology.Communications,10-06032019,att/hs lines,40.01,0,6/3/2019,P,,106262019,12648,,101243,AT & T                        , 06-03-2019_       ,19,714,   ,10-06032019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,1-10022018,hs office share oct,304.32,0,10/2/2018,P,,110262018,10809,,632,CORDOVA TELEPHONE CO-OP       , 10-02-2018_       ,19,249,   ,1-10022018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,11-09052018,ctc/hs office/share/sept,304.17,0,9/5/2018,P,,109262018,10334,,632,CORDOVA TELEPHONE CO-OP       , 09-05-2018_       ,19,148,   ,11-09052018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,12-09032018,att-hs-sept,23.48,0,9/3/2018,P,,109262018,10344,,101243,AT & T                        , 09-03-2018_       ,19,148,   ,12-09032018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,13-08022018,ctc/hs office,305.6,0,8/2/2018,P,,108262018,10012,,632,CORDOVA TELEPHONE CO-OP       , 08-02-2018_       ,19,92,   ,13-08022018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,14-11022018,hs off share ctc/nov,305.74,0,11/2/2018,P,,111262018,11007,,632,CORDOVA TELEPHONE CO-OP       , 11-02-2018_       ,19,303,   ,14-11022018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,15-11012018,att/hs/portion/sept,48.63,0,11/1/2018,P,,111262018,11012,,101243,AT & T                        , 11-01-2018_       ,19,303,   ,15-11012018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,16-02012019,hs jan bill,34.89,0,2/1/2019,P,,102262019,11733,,101243,AT & T                        , 02-01-2019_       ,19,494,   ,16-02012019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,17-01242019,ctc-jan-19-hs office,293.39,0,1/24/2019,P,,101262019,11483,,632,CORDOVA TELEPHONE CO-OP       , 01-24-2019_       ,19,441,   ,17-01242019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,18-12042018,hs office dec share,305.74,0,12/4/2018,P,,112262018,11358,,632,CORDOVA TELEPHONE CO-OP       , 12-04-2018_       ,19,363,   ,18-12042018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,19-02262019,hs office march,293.39,0,2/26/2019,P,,102262019,11781,,632,CORDOVA TELEPHONE CO-OP       , 02-26-2019_       ,19,494,   ,19-02262019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,20-12032018,hs-oct bill,42.44,0,12/3/2018,P,,112262018,11280,,101243,AT & T                        , 12-03-2018_       ,19,363,   ,20-12032018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,2-10022018,att-hs,21.28,0,10/2/2018,P,,110262018,10810,,101243,AT & T                        , 10-02-2018_       ,19,249,   ,2-10022018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,21-07032018,ctc-hs office,302.27,0,7/3/2018,P,,107262018,9801,,632,CORDOVA TELEPHONE CO-OP       , 07-03-2018_       ,19,24,   ,21-07032018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,22-07032018,hs portion,45.11,0,7/3/2018,P,,107262018,9802,,101243,AT & T                        , 07-03-2018_       ,19,24,   ,22-07032018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,23-07012018,AT&T Longdistance,0,45.11,7/1/2018,J,989,,,,         ,                              ,                   ,19,58,   ,23-07012018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,24-03052019,ctc-hs office,293.39,0,3/5/2019,P,,103262019,12013,,632,CORDOVA TELEPHONE CO-OP       , 03-05-2019_       ,19,528,   ,24-03052019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,25-03012019,att-hs portion,46.63,0,3/1/2019,P,,103262019,12057,,101243,AT & T                        , 03-01-2019_       ,19,528,   ,25-03012019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,26-04032019,ctc-hs office april,292.52,0,4/3/2019,P,,104262019,12281,,632,CORDOVA TELEPHONE CO-OP       , 04-03-2019_       ,19,572,   ,26-04032019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,27-04022019,att hs mar 2019,46.63,0,4/2/2019,P,,104262019,12284,,101243,AT & T                        , 04-02-2019_       ,19,572,   ,27-04022019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,28-07012018,FY19 Adopted Budget,0,4300,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,28-07012018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,3-10022018,at&t-hs portion,20.22,0,10/2/2018,P,,110262018,10810,,101243,AT & T                        , 10-02-2018_       ,19,249,   ,3-10022018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,4-10022018,att-hs,9.74,0,10/2/2018,P,,110262018,10810,,101243,AT & T                        , 10-02-2018_       ,19,249,   ,4-10022018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,5-10022018,att-hs,3.34,0,10/2/2018,P,,110262018,10810,,101243,AT & T                        , 10-02-2018_       ,19,249,   ,5-10022018,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,6-05062019,april bill hschool,34.97,0,5/6/2019,P,,105262019,12467,,101243,AT & T                        , 05-06-2019_       ,19,665,   ,6-05062019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,7-05032019,hs office,292.52,0,5/3/2019,P,,105262019,12475,,632,CORDOVA TELEPHONE CO-OP       , 05-03-2019_       ,19,665,   ,7-05032019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,8-06302019,FY19 CC Expenses,29.15,0,6/30/2019,J,1103,,,,         ,                              ,                   ,19,776,   ,8-06302019,,19,100,10,400,720,433
Cordova City School District,400.Technology.Communications,9-06052019,ctc/hs office line,292.52,0,6/5/2019,P,,106262019,12644,,632,CORDOVA TELEPHONE CO-OP       , 06-05-2019_       ,19,714,   ,9-06052019,,19,100,10,400,720,433
Cordova City School District,450.000.Salaries Non-Cert S,10-07312018,July 25 2018 Payroll PC01,500,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,10-07312018,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,1-06302019,FY19 Revised Budget F450 +,0,10000,6/30/2019,B,494,,,,         ,                              ,                   ,19,738,   ,1-06302019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,11-04252019,April 25 2019 Payroll PC10,6780.72,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,11-04252019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,12-05242019,May 24 2019 Payroll PC11,5692.77,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,12-05242019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,13-02252019,February 25 2019 Payroll PC08,6332.35,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,13-02252019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,14-10252018,October 25 2018 Payroll PC04,7017.15,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,14-10252018,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,15-07012018,FY19 Adopted Budget,0,55761,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,15-07012018,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,2-06252019,Payroll June 25 2019 PC12,5367.98,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,2-06252019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,3-06302019,July 15 2019 Payroll PC14,890.51,0,6/30/2019,J,1071,,,,         ,                              ,                   ,19,712,   ,3-06302019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,4-09252018,Sept 25 2018 Payroll PC03,7173.79,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,4-09252018,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,5-11232018,November 23 2018 Payroll,7588.92,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,5-11232018,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,6-12242018,December 24 2018 Payroll,6664.44,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,6-12242018,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,7-01252019,January 25 2019 Payroll PC07,3627.19,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,7-01252019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,8-03252019,March 25 2019 Payroll PC09,4643.02,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,8-03252019,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,9-08242018,August 24 2018 Payroll,3903.45,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,9-08242018,,19,100,10,450,0,324
Cordova City School District,450.000.Salaries Non-Cert S,10-07012018,FY19 Adopted Budget,0,2500,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,10-07012018,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,1-09252018,Sept 25 2018 Payroll PC03,21.6,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,1-09252018,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,2-11232018,November 23 2018 Payroll,311.59,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,2-11232018,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,3-12242018,December 24 2018 Payroll,133.64,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,3-12242018,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,4-01252019,January 25 2019 Payroll PC07,211.75,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,4-01252019,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,5-03252019,March 25 2019 Payroll PC09,57.63,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,5-03252019,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,6-04252019,April 25 2019 Payroll PC10,158.32,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,6-04252019,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,7-05242019,May 24 2019 Payroll PC11,117.77,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,7-05242019,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,8-02252019,February 25 2019 Payroll PC08,43.19,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,8-02252019,,19,100,10,450,0,329
Cordova City School District,450.000.Salaries Non-Cert S,9-10252018,October 25 2018 Payroll PC04,119.7,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,9-10252018,,19,100,10,450,0,329
Cordova City School District,450.000.Insurance - Health/,10-05242019,May 24 2019 Payroll PC11,1550.63,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,10-05242019,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,1-06252019,Payroll June 25 2019 PC12,1605,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,11-02252019,February 25 2019 Payroll PC08,1550.63,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,11-02252019,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,12-10252018,October 25 2018 Payroll PC04,1550.63,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,12-10252018,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,13-07012018,FY19 Adopted Budget,0,24612,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,13-07012018,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,2-09252018,Sept 25 2018 Payroll PC03,1550.63,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,2-09252018,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,3-11232018,November 23 2018 Payroll,1550.63,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,3-11232018,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,4-12242018,December 24 2018 Payroll,1550.63,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,4-12242018,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,5-01252019,January 25 2019 Payroll PC07,1550.63,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,6-03252019,March 25 2019 Payroll PC09,1550.63,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,6-03252019,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,7-08242018,August 24 2018 Payroll,1550.63,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,7-08242018,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,8-07252018,July 25 2018 PC01 Net Zero Cor,1550.63,0,7/25/2018,J,1056,,,,         ,                              ,                   ,19,661,   ,8-07252018,,19,100,10,450,0,351
Cordova City School District,450.000.Insurance - Health/,9-04252019,April 25 2019 Payroll PC10,1550.63,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,9-04252019,,19,100,10,450,0,351
Cordova City School District,450.000.FICA Contributions,10-04252019,April 25 2019 Payroll PC10,520.52,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,10-04252019,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,1-06252019,Payroll June 25 2019 PC12,399.95,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,11-05242019,May 24 2019 Payroll PC11,434.18,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,11-05242019,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,12-02252019,February 25 2019 Payroll PC08,477.44,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,12-02252019,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,13-10252018,October 25 2018 Payroll PC04,533.65,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,13-10252018,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,2-06302019,July 15 2019 Payroll PC14,68.13,0,6/30/2019,J,1071,,,,         ,                              ,                   ,19,712,   ,2-06302019,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,3-09252018,Sept 25 2018 Payroll PC03,537.52,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,3-09252018,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,4-11232018,November 23 2018 Payroll,591.31,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,4-11232018,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,5-12242018,December 24 2018 Payroll,507.54,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,5-12242018,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,6-01252019,January 25 2019 Payroll PC07,283.37,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,6-01252019,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,7-03252019,March 25 2019 Payroll PC09,349.29,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,7-03252019,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,8-08242018,August 24 2018 Payroll,285.56,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,8-08242018,,19,100,10,450,0,354
Cordova City School District,450.000.FICA Contributions,9-07312018,July 25 2018 Payroll PC01,38.25,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,9-07312018,,19,100,10,450,0,354
Cordova City School District,450.000.PERS Retire Contrib,10-07312018,July 25 2018 Payroll PC01,516.83,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,10-07312018,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,1-06302019,FY19 PERS DCF Credits,0,430.74,6/30/2019,J,1113,,,,         ,                              ,                   ,19,788,   ,1-06302019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,11-04252019,April 25 2019 Payroll PC10,1491.76,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,11-04252019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,12-05242019,May 24 2019 Payroll PC11,1252.4,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,12-05242019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,13-02252019,February 25 2019 Payroll PC08,1393.12,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,13-02252019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,14-10252018,October 25 2018 Payroll PC04,1448.62,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,14-10252018,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,2-06252019,Payroll June 25 2019 PC12,1180.95,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,2-06252019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,3-06302019,July 15 2019 Payroll PC14,381.65,0,6/30/2019,J,1071,,,,         ,                              ,                   ,19,712,   ,3-06302019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,4-09252018,Sept 25 2018 Payroll PC03,1463.4,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,4-09252018,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,5-11232018,November 23 2018 Payroll,1532.79,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,5-11232018,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,6-12242018,December 24 2018 Payroll,1368.13,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,6-12242018,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,7-01252019,January 25 2019 Payroll PC07,797.97,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,7-01252019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,8-03252019,March 25 2019 Payroll PC09,1021.46,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,8-03252019,,19,100,10,450,0,356
Cordova City School District,450.000.PERS Retire Contrib,9-08242018,August 24 2018 Payroll,1293.27,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,9-08242018,,19,100,10,450,0,356
Cordova City School District,450.000.Insurance - Health/,10-04252019,April 25 2019 Payroll PC10,15.04,0,4/25/2019,J,1037,,,,         ,                              ,                   ,19,566,   ,10-04252019,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,1-06252019,Payroll June 25 2019 PC12,15.04,0,6/25/2019,J,1068,,,,         ,                              ,                   ,19,694,   ,1-06252019,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,11-05242019,May 24 2019 Payroll PC11,15.04,0,5/24/2019,J,1043,,,,         ,                              ,                   ,19,622,   ,11-05242019,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,12-02252019,February 25 2019 Payroll PC08,15.04,0,2/25/2019,J,1027,,,,         ,                              ,                   ,19,483,   ,12-02252019,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,13-10252018,October 25 2018 Payroll PC04,15.04,0,10/25/2018,J,1012,,,,         ,                              ,                   ,19,238,   ,13-10252018,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,14-07012018,FY19 Adopted Budget,0,215,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,14-07012018,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,2-09252018,Sept 25 2018 Payroll PC03,15.04,0,9/25/2018,J,1008,,,,         ,                              ,                   ,19,166,   ,2-09252018,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,3-11232018,November 23 2018 Payroll,15.04,0,11/23/2018,J,1014,,,,         ,                              ,                   ,19,309,   ,3-11232018,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,4-12242018,December 24 2018 Payroll,15.04,0,12/24/2018,J,1015,,,,         ,                              ,                   ,19,352,   ,4-12242018,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,5-01252019,January 25 2019 Payroll PC07,15.04,0,1/25/2019,J,1022,,,,         ,                              ,                   ,19,402,   ,5-01252019,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,6-03252019,March 25 2019 Payroll PC09,15.04,0,3/25/2019,J,1032,,,,         ,                              ,                   ,19,522,   ,6-03252019,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,7-08242018,August 24 2018 Payroll,15.04,0,8/24/2018,J,996,,,,         ,                              ,                   ,19,76,   ,7-08242018,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,8-07312018,July 25 2018 Payroll PC01,8.4,0,7/31/2018,J,984,,,,         ,                              ,                   ,19,51,   ,8-07312018,,19,100,10,450,0,361
Cordova City School District,450.000.Insurance - Health/,9-07252018,July 25 2018 PC01 Net Zero Cor,6.64,0,7/25/2018,J,1056,,,,         ,                              ,                   ,19,661,   ,9-07252018,,19,100,10,450,0,361
Cordova City School District,450.000.FICA Contributions,1-07012018,FY19 Adopted Budget,0,4458,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,10,450,0,364
Cordova City School District,450.000.PERS Retire Contrib,1-07012018,FY19 Adopted Budget,0,12267,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,10,450,0,366
Cordova City School District,450.000.Professional/Techni,1-07012018,FY19 Adopted Budget,0,300,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,1-07012018,,19,100,10,450,0,410
Cordova City School District,450.000.Supplies and Materi,10-07012018,FY19 Adopted Budget,0,1000,7/1/2018,B,479,,,,         ,                              ,                   ,19,217,   ,10-07012018,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,1-10122018,whitcomb/hs/po 510780,32.99,0,10/12/2018,P,,100004779,10463,,1415,SEAMAN S HARDWARE             ,9302018,19,190,   ,1-10122018,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,11-02282019,amhs???????????????,354,0,2/28/2019,P,,103262019,11959,,1,ALASKA MARINE HIGHWAY SYSTEM  , 02-28-2019_       ,19,528,   ,11-02282019,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,2-12192018,?????????????change,226.57,0,12/19/2018,P,,112262018,11228,,3867,One time Vendor               , 12-19-2018_       ,19,363,   ,2-12192018,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,3-07012018,FY19 Adopted Budget,0,187548,7/1/2018,B,474,,,,         ,                              ,                   ,19,72,   ,3-07012018,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,4-04112019,amhs-1436549 jh vb,0,354,4/11/2019,P,,103262019,11959,,1,ALASKA MARINE HIGHWAY SYSTEM  , 02-28-2019_       ,19,547,   ,4-04112019,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,5-04112019,amhs-1436549 jh vb,0,-206,4/11/2019,P,,103262019,11957,,1,ALASKA MARINE HIGHWAY SYSTEM  , 03-05-2019_       ,19,547,   ,5-04112019,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,6-03052019,amhs??????????????????,-206,0,3/5/2019,P,,103262019,11957,,1,ALASKA MARINE HIGHWAY SYSTEM  , 03-05-2019_       ,19,528,   ,6-03052019,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,7-07012018,FY19 Adopted Budget,187548,0,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,7-07012018,,19,100,10,450,0,450
Cordova City School District,450.000.Supplies and Materi,8-07012018,FY19 Adopted Budget,0,1000,7/1/2018,B,477,,,,         ,                              ,                   ,19,66,   ,8-07012018,,19,100,10,450,0,450
